rank,institution
1,University of Toronto
2,University of Waterloo
3,University of Alberta
4,University of British Columbia
5,University of Montreal
6,Simon Fraser University
7,McGill University
8,York University
9,Carleton University
10,Université Laval
11,University of Ottawa
12,ETS Montreal
13,Concordia University
13,University of Guelph
15,Queen’s University
16,University of Manitoba
17,Polytechnique Montreal
17,Western University
19,University of Regina
19,University of Victoria
19,Université du Québec à Montréal
22,Dalhousie University
22,McMaster University
22,Toronto Metropolitan University
22,Université de Sherbrooke
26,University of New Brunswick
27,Ontario Tech University
27,University of Calgary
29,Brock University
30,University of Saskatchewan
