rank,institution
1,University of Toronto
2,University of Waterloo
3,University of British Columbia
4,Simon Fraser University
5,McGill University
6,University of Alberta
7,University of Montreal
8,Carleton University
8,University of Victoria
10,York University
11,University of Calgary
12,Concordia University
12,University of Guelph
12,Université Laval
15,Dalhousie University
15,Queen’s University
15,University of Manitoba
15,University of Ottawa
19,ETS Montreal
19,Université de Sherbrooke
21,McMaster University
21,Memorial University of Newfoundland
21,Ontario Tech University
21,Polytechnique Montreal
21,Toronto Metropolitan University
21,University of New Brunswick
21,University of Regina
21,University of Saskatchewan
21,Université du Québec à Montréal
21,Western University
31,Brock University
31,University of Windsor
