rank,institution
1,University of Toronto
2,University of British Columbia
3,Simon Fraser University
4,University of Waterloo
5,McGill University
6,University of Calgary
7,University of Victoria
8,University of Montreal
9,Carleton University
10,University of Alberta
10,University of Manitoba
12,University of Guelph
13,University of Saskatchewan
14,Université Laval
15,Dalhousie University
15,York University
17,Queen’s University
18,Ontario Tech University
18,University of New Brunswick
18,University of Ottawa
18,Université de Sherbrooke
18,Université du Québec à Montréal
23,Concordia University
23,ETS Montreal
23,Memorial University of Newfoundland
23,Polytechnique Montreal
27,McMaster University
27,Toronto Metropolitan University
