rank,institution
1,University of Waterloo
2,University of Toronto
3,University of British Columbia
4,Simon Fraser University
5,McGill University
6,Carleton University
6,Concordia University
6,University of Calgary
6,University of Victoria
10,Dalhousie University
10,Queen’s University
10,York University
13,McMaster University
13,University of Alberta
13,University of Guelph
13,University of Manitoba
13,University of Montreal
13,Western University
19,Ontario Tech University
19,Polytechnique Montreal
19,University of Regina
19,Université du Québec à Montréal
