rank,institution
1,University of Waterloo
2,University of Toronto
3,McGill University
4,Simon Fraser University
5,Université de Sherbrooke
6,University of British Columbia
6,University of Victoria
8,University of Alberta
9,University of Calgary
9,University of Montreal
11,Carleton University
12,Memorial University of Newfoundland
12,University of Ottawa
12,University of Windsor
15,York University
16,Concordia University
16,Dalhousie University
16,University of Guelph
16,University of Manitoba
16,Université du Québec à Montréal
