rank,institution
1,University of Toronto
2,Simon Fraser University
3,York University
4,University of British Columbia
5,University of Waterloo
6,ETS Montreal
7,Concordia University
8,University of Montreal
9,Université Laval
10,University of Guelph
11,University of Alberta
12,University of Manitoba
13,Carleton University
14,McGill University
15,Toronto Metropolitan University
15,University of Ottawa
17,Université de Sherbrooke
18,Polytechnique Montreal
18,University of Victoria
20,Ontario Tech University
21,Dalhousie University
21,Western University
