rank,institution
1,Carnegie Mellon University
2,Univ. of Illinois at Urbana-Champaign
3,Cornell University
4,Stanford University
5,University of Michigan
6,Univ. of California - San Diego
7,University of Washington
8,Massachusetts Institute of Technology
9,University of Massachusetts Amherst
10,Univ. of California - Los Angeles
11,University of Maryland - College Park
12,Rutgers University
13,Columbia University
14,Univ. of California - Berkeley
15,University of Pennsylvania
16,Georgia Institute of Technology
17,University of Texas at Austin
18,New York University
19,University of Southern California
20,Northeastern University
21,University of Illinois at Chicago
22,Johns Hopkins University
23,Univ. of California - Santa Barbara
24,Pennsylvania State University
25,University of Pittsburgh
26,Duke University
26,Purdue University
28,Stony Brook University
29,University of Wisconsin - Madison
30,Princeton University
31,University of Texas at Dallas
32,University of North Carolina
33,Boston University
34,Arizona State University
35,Brown University
35,University at Buffalo
37,Univ. of California - Irvine
38,Univ. of California - Santa Cruz
39,Harvard University
40,Oregon State University
40,Rice University
42,University of Virginia
43,Michigan State University
44,Ohio State University
44,University of Rochester
46,Texas A&M University
46,University of Central Florida
48,George Mason University
49,University of Chicago
50,Northwestern University
51,TTI Chicago
52,University of Colorado Boulder
53,Univ. of California - Riverside
53,University of Minnesota
55,University of Utah
55,Washington University in St. Louis
57,Yale University
58,University of Notre Dame
59,Rochester Institute of Technology
59,Temple University
61,Univ. of California - Davis
62,University of Oregon
63,Emory University
64,Virginia Tech
65,Worcester Polytechnic Institute
66,University of Arizona
67,Univ. of California - Merced
68,Indiana University
69,Binghamton University
70,Brandeis University
70,Stevens Institute of Technology
72,California Institute of Technology
73,University of Texas at Arlington
74,North Carolina State University
74,University of Florida
76,Iowa State University
76,Tulane University
76,University of Houston
79,Rensselaer Polytechnic Institute
79,University of Connecticut
79,University of Delaware
82,Brigham Young University
83,CUNY
83,Illinois Institute of Technology
83,Washington State University
86,Lehigh University
86,Syracuse University
86,University of Massachusetts Lowell
89,Georgetown University
89,Tufts University
89,University of South Carolina
89,Wayne State University
93,Univ. of Maryland - Baltimore County
93,University of New Hampshire
93,Vanderbilt University
96,Dartmouth College
97,Drexel University
97,NJIT
97,University of Kentucky
97,West Virginia University
101,Colorado School of Mines
101,University of Georgia
103,Boston College
103,Case Western Reserve University
105,University of Arkansas
105,University of North Texas
107,Auburn University
107,Clemson University
107,UCCS
107,UNC - Charlotte
107,University of Memphis
112,College of William and Mary
112,Florida International University
112,University of Louisiana - Lafayette
112,University of Nebraska
112,University of Tennessee
117,Portland State University
118,George Washington University
118,New Mexico State University
118,University of Iowa
121,Colorado State University
121,DePaul University
121,Florida State University
121,Georgia State University
121,University of Missouri
126,Boise State University
126,Cleveland State University
126,IUPUI
126,Kansas State University
126,Old Dominion University
126,University of Kansas
126,University of Nebraska - Omaha
126,University of Texas - El Paso
126,Virginia Commonwealth University
135,Kent State University
135,Michigan Technological University
135,Mississippi State University
135,OHSU
135,Texas Tech University
135,University of Nevada
135,University of South Florida
135,University of Southern Mississippi
135,Wichita State University
144,Augusta University
144,Missouri S&T
144,Nova Southeastern University
144,The University of Alabama
144,Towson University
144,UNC - Greensboro
144,University at Albany - SUNY
144,University of Alabama - Birmingham
144,University of Massachusetts Boston
144,University of Michigan-Dearborn
144,University of Texas at San Antonio
155,Florida Atlantic University
155,Louisiana State University
155,Northern Arizona University
155,Ohio University
155,Oklahoma State University
155,Texas State University
155,University of Cincinnati
155,University of Hawaii at Manoa
155,University of Miami
155,University of Missouri - Kansas City
155,University of Oklahoma
155,University of Tulsa
155,University of Vermont
155,Utah State University
169,Missouri University of Technology
169,Montana State University
169,New Mexico Tech
169,University of Colorado - Denver
169,University of Denver
169,University of New Mexico
169,University of New Orleans
169,Western Michigan University
