rank,institution
1,Carnegie Mellon University
2,Univ. of Illinois at Urbana-Champaign
3,Massachusetts Institute of Technology
4,Univ. of California - San Diego
5,University of Michigan
6,Stanford University
6,University of Washington
8,Cornell University
9,Univ. of California - Berkeley
10,Georgia Institute of Technology
11,University of Maryland - College Park
12,Northeastern University
13,Purdue University
14,University of Texas at Austin
14,University of Wisconsin - Madison
16,Columbia University
17,University of Pennsylvania
18,Princeton University
19,New York University
20,Univ. of California - Los Angeles
20,University of Massachusetts Amherst
22,Stony Brook University
23,Univ. of California - Santa Barbara
24,Rutgers University
24,University of Chicago
26,Univ. of California - Irvine
27,University of Southern California
28,Duke University
29,Pennsylvania State University
30,Northwestern University
30,Univ. of California - Riverside
32,Ohio State University
33,Harvard University
33,University of Utah
33,Yale University
36,Brown University
36,George Mason University
36,Texas A&M University
39,Univ. of California - Santa Cruz
40,Boston University
40,University at Buffalo
40,University of Illinois at Chicago
43,Arizona State University
43,Rice University
43,University of Colorado Boulder
43,University of Minnesota
47,North Carolina State University
47,University of North Carolina
47,University of Virginia
50,Univ. of California - Davis
51,Johns Hopkins University
51,Oregon State University
51,Virginia Tech
54,Indiana University
54,University of Pittsburgh
56,University of Central Florida
57,University of Texas at Dallas
58,Michigan State University
58,University of Rochester
58,Washington University in St. Louis
61,Rochester Institute of Technology
61,Univ. of California - Merced
61,University of Notre Dame
64,University of Texas at Arlington
65,Binghamton University
65,Dartmouth College
65,University of Connecticut
65,University of Florida
65,Vanderbilt University
65,Worcester Polytechnic Institute
71,California Institute of Technology
71,College of William and Mary
71,TTI Chicago
74,Clemson University
74,NJIT
74,Stevens Institute of Technology
74,Tufts University
74,University of Delaware
79,CUNY
79,Florida State University
79,Iowa State University
79,University of Arizona
79,University of Houston
79,University of Oregon
85,Colorado School of Mines
85,Emory University
85,Georgetown University
85,Illinois Institute of Technology
85,Syracuse University
85,Temple University
85,University of Tennessee
85,Washington State University
93,Brigham Young University
93,George Washington University
93,Lehigh University
93,Portland State University
93,Rensselaer Polytechnic Institute
93,Tulane University
93,UNC - Charlotte
93,University of Georgia
93,University of Massachusetts Lowell
93,University of Nebraska
93,University of South Carolina
93,Wayne State University
105,Augusta University
105,Boston College
105,Brandeis University
105,Case Western Reserve University
105,Drexel University
105,Florida International University
105,University of Iowa
105,University of Louisiana - Lafayette
105,University of New Hampshire
114,Colorado State University
114,DePaul University
114,Kent State University
114,Michigan Technological University
114,Texas State University
114,UCCS
114,Univ. of Maryland - Baltimore County
114,University of Arkansas
114,University of Kansas
114,University of Kentucky
114,University of Memphis
114,University of Nevada
114,University of North Texas
114,University of South Florida
114,University of Texas at San Antonio
114,Virginia Commonwealth University
130,Auburn University
130,Georgia State University
130,IUPUI
130,Kansas State University
130,Louisiana State University
130,New Mexico State University
130,Northern Arizona University
130,Old Dominion University
130,Texas Tech University
130,University of Hawaii at Manoa
130,University of Massachusetts Boston
130,University of Michigan-Dearborn
130,University of New Mexico
130,University of Vermont
130,West Virginia University
145,Boise State University
145,Cleveland State University
145,Florida Atlantic University
145,Mississippi State University
145,Naval Postgraduate School
145,OHSU
145,Ohio University
145,Oklahoma State University
145,The University of Alabama
145,Towson University
145,UNC - Greensboro
145,University at Albany - SUNY
145,University of Alabama - Birmingham
145,University of Cincinnati
145,University of Colorado - Denver
145,University of Denver
145,University of Miami
145,University of Missouri
145,University of Nebraska - Omaha
145,University of Nevada Las Vegas
145,University of New Orleans
145,University of Oklahoma
145,University of Southern Mississippi
145,University of Texas - El Paso
145,University of Wisconsin - Milwaukee
145,University of Wyoming
145,Utah State University
145,Western Michigan University
145,Wichita State University
174,Florida Institute of Technology
174,Indiana State University
174,Missouri S&T
174,Missouri University of Technology
174,Montana State University
174,New Mexico Tech
174,Nova Southeastern University
174,Oakland University
174,Shanghaitech University
174,Southern Methodist University
174,University of Alabama - Huntsville
174,University of Louisville
174,University of Missouri - Kansas City
174,University of Tulsa
