rank,institution
1,Carnegie Mellon University
2,Univ. of California - Los Angeles
3,Univ. of California - San Diego
4,University of Maryland - College Park
5,Univ. of Illinois at Urbana-Champaign
6,Duke University
7,Pennsylvania State University
7,University of Connecticut
9,Princeton University
10,Massachusetts Institute of Technology
11,Purdue University
12,Indiana University
13,Stanford University
14,Univ. of California - Berkeley
15,Univ. of California - Riverside
16,Northeastern University
17,University of Central Florida
17,University of Pittsburgh
19,Brown University
20,Georgia Institute of Technology
20,University of Florida
22,Columbia University
23,Colorado School of Mines
23,University of Washington
25,Univ. of California - Irvine
26,Dartmouth College
26,TTI Chicago
26,University of Arizona
26,Virginia Commonwealth University
30,University of Notre Dame
31,Georgia State University
32,Stony Brook University
33,Virginia Tech
34,Michigan State University
34,Rice University
34,Tufts University
34,University of Wisconsin - Madison
38,Case Western Reserve University
38,University of Utah
40,Florida International University
40,University of North Carolina
42,George Mason University
42,NJIT
42,Ohio State University
42,UCCS
42,University of Pennsylvania
47,Johns Hopkins University
47,Oregon State University
47,University of Delaware
50,California Institute of Technology
50,Colorado State University
50,Cornell University
50,Emory University
50,Montana State University
50,Old Dominion University
50,Univ. of California - Santa Barbara
50,University of Houston
58,Clemson University
58,North Carolina State University
58,Texas A&M University
58,Univ. of California - Davis
58,University of Massachusetts Amherst
58,University of Missouri
58,University of South Carolina
58,University of Texas at Arlington
58,University of Virginia
67,Univ. of California - Santa Cruz
67,University of Illinois at Chicago
67,University of North Texas
