rank,institution
1,University of Washington
2,Carnegie Mellon University
3,Cornell University
4,Johns Hopkins University
5,University of Pennsylvania
6,Stanford University
7,University of Maryland - College Park
8,University of Michigan
9,University of North Carolina
10,New York University
11,Univ. of Illinois at Urbana-Champaign
12,Univ. of California - San Diego
13,University of Texas at Austin
14,Univ. of California - Los Angeles
15,Columbia University
15,Univ. of California - Santa Barbara
17,University of Massachusetts Amherst
18,University of Texas at Dallas
19,Massachusetts Institute of Technology
20,Georgia Institute of Technology
21,University of Illinois at Chicago
22,University of Arizona
23,University of Southern California
24,Oregon State University
25,TTI Chicago
26,Univ. of California - Berkeley
27,University of Utah
28,Pennsylvania State University
29,University of Colorado Boulder
30,Stony Brook University
31,University of Pittsburgh
32,University of Massachusetts Lowell
33,Brown University
34,Rutgers University
35,Princeton University
36,Yale University
37,Duke University
38,Ohio State University
39,Northeastern University
39,University of Notre Dame
41,University of Oregon
42,Univ. of California - Irvine
43,University of Rochester
44,Univ. of California - Santa Cruz
45,Texas A&M University
46,Arizona State University
46,George Mason University
48,Georgetown University
48,Purdue University
50,Emory University
51,Temple University
52,Brandeis University
52,University of Virginia
54,University of Wisconsin - Madison
55,Virginia Tech
56,University of Houston
57,University of Central Florida
58,Rochester Institute of Technology
59,University of Chicago
60,Northwestern University
61,University of Minnesota
62,Worcester Polytechnic Institute
63,University at Buffalo
64,Boston University
65,CUNY
66,Michigan State University
67,Harvard University
68,Brigham Young University
68,Dartmouth College
70,Univ. of California - Riverside
71,Rice University
71,Univ. of Maryland - Baltimore County
73,North Carolina State University
74,Univ. of California - Davis
75,Case Western Reserve University
76,Boston College
76,OHSU
76,University of North Texas
79,University of Iowa
80,Binghamton University
80,Florida International University
80,Stevens Institute of Technology
83,Boise State University
83,Iowa State University
85,University of Connecticut
85,University of Kentucky
87,Drexel University
88,Illinois Institute of Technology
88,Indiana University
90,The University of Alabama
90,Tufts University
90,University of Florida
93,Lehigh University
93,Washington University in St. Louis
95,Auburn University
95,DePaul University
95,Tulane University
95,UNC - Charlotte
95,University of South Carolina
100,University of Michigan-Dearborn
100,Vanderbilt University
102,Florida State University
102,Michigan Technological University
102,Portland State University
102,Rensselaer Polytechnic Institute
102,UCCS
102,Univ. of California - Merced
102,University of Arkansas
102,University of Kansas
102,University of Memphis
102,Virginia Commonwealth University
112,Georgia State University
112,Kansas State University
112,Old Dominion University
112,University of Nebraska
112,University of New Hampshire
112,University of Oklahoma
112,University of Tulsa
119,College of William and Mary
119,Mississippi State University
119,University of Alabama - Birmingham
119,University of South Florida
119,University of Texas at Arlington
119,University of Texas at San Antonio
119,Washington State University
119,Western Michigan University
