rank,institution
1,Carnegie Mellon University
2,University of Maryland - College Park
3,Stanford University
4,University of Washington
5,Massachusetts Institute of Technology
6,Georgia Institute of Technology
7,Cornell University
8,Univ. of California - San Diego
9,Univ. of California - Berkeley
10,Univ. of Illinois at Urbana-Champaign
11,Northeastern University
12,University of Michigan
12,University of Utah
14,Columbia University
14,University of Pennsylvania
16,Purdue University
17,Princeton University
18,New York University
19,Stony Brook University
20,Brown University
21,Rutgers University
21,Texas A&M University
21,University of Wisconsin - Madison
24,George Mason University
25,Harvard University
25,University of Massachusetts Amherst
27,Northwestern University
28,University of Minnesota
29,University of Colorado Boulder
30,Dartmouth College
30,Univ. of California - Irvine
32,University of North Carolina
32,Yale University
34,University of Southern California
34,University of Texas at Austin
36,Clemson University
37,Ohio State University
37,Univ. of California - Santa Cruz
37,University of Central Florida
40,Duke University
40,Indiana University
42,Univ. of California - Santa Barbara
42,University of Chicago
44,Univ. of California - Davis
45,Arizona State University
45,Worcester Polytechnic Institute
47,Vanderbilt University
47,Washington University in St. Louis
49,Oregon State University
49,University of Illinois at Chicago
49,Virginia Tech
52,Tufts University
53,Johns Hopkins University
54,Michigan State University
54,Rice University
56,Lehigh University
56,North Carolina State University
56,Pennsylvania State University
56,Rochester Institute of Technology
56,Univ. of California - Los Angeles
56,Univ. of California - Riverside
62,UNC - Charlotte
62,Univ. of California - Merced
62,University of Pittsburgh
62,University of Virginia
66,Boston University
66,University at Buffalo
66,University of Florida
66,University of Houston
66,University of Nevada
66,University of Notre Dame
72,California Institute of Technology
72,TTI Chicago
72,University of Connecticut
75,Brigham Young University
75,Tulane University
75,University of Arizona
78,College of William and Mary
78,Colorado School of Mines
78,IUPUI
78,University of Memphis
78,University of Nebraska
78,University of South Carolina
78,University of Texas at Arlington
85,CUNY
85,Iowa State University
85,University of Louisiana - Lafayette
85,University of Rochester
85,University of Tennessee
85,University of Texas at Dallas
91,Augusta University
91,NJIT
91,Portland State University
91,Rensselaer Polytechnic Institute
91,University of Delaware
91,University of New Mexico
91,Virginia Commonwealth University
98,Binghamton University
98,Boston College
98,Drexel University
98,Emory University
98,Florida International University
98,Kent State University
98,Univ. of Maryland - Baltimore County
98,University of Iowa
98,University of New Hampshire
98,University of South Florida
98,Wayne State University
109,Case Western Reserve University
109,DePaul University
109,Florida State University
109,Georgia State University
109,Stevens Institute of Technology
109,Temple University
109,University of Denver
109,University of Georgia
109,University of Massachusetts Boston
109,University of Massachusetts Lowell
109,University of Nebraska - Omaha
109,University of Oregon
109,University of Southern Mississippi
109,University of Texas at San Antonio
123,Kansas State University
123,Michigan Technological University
123,Naval Postgraduate School
123,New Mexico State University
123,Syracuse University
123,UCCS
123,UNC - Greensboro
123,University at Albany - SUNY
123,University of Colorado - Denver
123,University of Miami
123,University of North Texas
123,University of Vermont
123,University of Wyoming
123,Utah State University
123,Wichita State University
138,Boise State University
138,Colorado State University
138,George Washington University
138,Georgetown University
138,Illinois Institute of Technology
138,Louisiana State University
138,Montana State University
138,Northern Arizona University
138,Old Dominion University
138,Texas State University
138,Texas Tech University
138,The University of Alabama
138,University of Cincinnati
138,University of Hawaii at Manoa
138,University of Louisville
138,University of Missouri
138,University of Oklahoma
138,University of Wisconsin - Milwaukee
138,Washington State University
157,Florida Institute of Technology
157,Mississippi State University
157,Oklahoma State University
157,Southern Methodist University
157,University of Arkansas
157,University of Kansas
157,University of Kentucky
157,University of Michigan-Dearborn
157,University of New Orleans
157,University of Texas - El Paso
157,University of Tulsa
