rank,institution
1,University of Pennsylvania
2,Carnegie Mellon University
3,Massachusetts Institute of Technology
4,Univ. of California - Berkeley
5,Georgia Institute of Technology
6,University of Minnesota
7,Univ. of Illinois at Urbana-Champaign
8,Stanford University
9,Univ. of California - San Diego
10,Texas A&M University
11,University of Maryland - College Park
12,Rutgers University
13,University of Southern California
14,University of Washington
15,Cornell University
16,Yale University
17,University of Colorado Boulder
18,University of Michigan
19,Brown University
20,University of Massachusetts Amherst
21,Arizona State University
22,University of Texas at Austin
23,Johns Hopkins University
24,Worcester Polytechnic Institute
25,Rice University
26,George Mason University
27,Northeastern University
28,University of Utah
29,University of North Carolina
30,Stony Brook University
31,University of Nevada
32,Univ. of California - Merced
33,Columbia University
34,Dartmouth College
34,Iowa State University
36,University at Buffalo
37,Northwestern University
38,New York University
39,Duke University
40,Indiana University
41,Lehigh University
42,University of South Florida
43,University of Nebraska
44,UNC - Charlotte
45,University of Wisconsin - Madison
46,University of Virginia
47,Purdue University
48,Princeton University
49,University of South Carolina
50,University of New Mexico
51,Oregon State University
52,Colorado School of Mines
53,Tufts University
54,University of Texas at Arlington
55,Univ. of California - Riverside
56,University of Central Florida
57,TTI Chicago
58,Clemson University
58,Rochester Institute of Technology
58,University of Rochester
61,CUNY
62,University of Massachusetts Lowell
62,University of Texas at Dallas
64,University of Tennessee
65,Univ. of California - Santa Cruz
66,Vanderbilt University
67,University of New Hampshire
67,University of Southern Mississippi
67,Virginia Commonwealth University
70,University of Georgia
70,University of Louisiana - Lafayette
70,University of Nebraska - Omaha
73,Wichita State University
74,University at Albany - SUNY
75,Binghamton University
75,Stevens Institute of Technology
75,Washington University in St. Louis
78,Tulane University
79,Boston University
79,Brigham Young University
81,Michigan State University
81,University of Denver
81,University of Illinois at Chicago
84,Kansas State University
84,University of Memphis
86,California Institute of Technology
86,DePaul University
86,Florida International University
86,Kent State University
90,Univ. of California - Irvine
90,Univ. of California - Santa Barbara
92,North Carolina State University
92,University of Connecticut
94,Case Western Reserve University
94,Pennsylvania State University
96,Augusta University
96,The University of Alabama
96,Univ. of Maryland - Baltimore County
96,University of Delaware
96,University of Vermont
101,Harvard University
101,Ohio State University
103,Louisiana State University
103,Portland State University
103,University of Chicago
106,Boise State University
106,Univ. of California - Los Angeles
106,University of Colorado - Denver
106,University of Louisville
106,University of Notre Dame
111,Florida State University
111,University of Cincinnati
111,University of Houston
111,University of Massachusetts Boston
115,Mississippi State University
115,Oklahoma State University
115,Rensselaer Polytechnic Institute
115,UNC - Greensboro
115,University of Kansas
115,University of Pittsburgh
121,Colorado State University
121,Florida Institute of Technology
121,Naval Postgraduate School
121,University of Kentucky
121,University of New Orleans
121,Virginia Tech
121,Washington State University
128,Utah State University
