rank,institution
1,Univ. of Illinois at Urbana-Champaign
2,Carnegie Mellon University
3,University of Michigan
4,Univ. of California - San Diego
5,Massachusetts Institute of Technology
6,Univ. of California - Berkeley
7,Georgia Institute of Technology
8,Purdue University
9,University of Wisconsin - Madison
10,University of Washington
11,Univ. of California - Riverside
12,University of Chicago
13,University of Texas at Austin
14,Cornell University
15,Northeastern University
16,Stanford University
17,Pennsylvania State University
18,University of Pennsylvania
19,Columbia University
19,Univ. of California - Irvine
21,North Carolina State University
21,Princeton University
21,Univ. of California - Santa Barbara
24,Univ. of California - Los Angeles
24,University of Maryland - College Park
26,Duke University
26,Ohio State University
26,University of Massachusetts Amherst
29,Stony Brook University
30,Northwestern University
31,University of Southern California
32,New York University
33,University at Buffalo
34,University of Utah
34,Virginia Tech
36,Rutgers University
36,Yale University
38,Texas A&M University
38,University of Virginia
40,University of Minnesota
41,Boston University
41,George Mason University
41,Univ. of California - Santa Cruz
44,Arizona State University
44,Harvard University
44,Rice University
44,Univ. of California - Davis
48,University of Colorado Boulder
49,Indiana University
50,University of Illinois at Chicago
51,College of William and Mary
52,Brown University
52,University of North Carolina
52,University of Pittsburgh
52,University of Texas at Arlington
56,Binghamton University
57,Florida State University
57,Oregon State University
57,University of Central Florida
60,George Washington University
60,Illinois Institute of Technology
60,NJIT
60,Univ. of California - Merced
60,University of Notre Dame
60,Washington State University
66,Rochester Institute of Technology
66,University of Delaware
66,University of Florida
66,University of Tennessee
66,University of Texas at Dallas
66,Vanderbilt University
66,Washington University in St. Louis
73,Michigan State University
73,Stevens Institute of Technology
73,Syracuse University
73,University of Connecticut
73,University of Rochester
78,Clemson University
78,Johns Hopkins University
78,University of Kansas
78,University of Texas at San Antonio
82,Case Western Reserve University
82,Colorado School of Mines
82,Georgetown University
82,Iowa State University
82,Texas State University
82,Tufts University
82,University of Georgia
82,University of Massachusetts Lowell
82,Wayne State University
82,Worcester Polytechnic Institute
92,Augusta University
92,CUNY
92,Colorado State University
92,Kent State University
92,Northern Arizona University
92,Portland State University
92,University of Arizona
92,University of Houston
92,University of Iowa
92,University of Michigan-Dearborn
92,University of Nebraska
92,University of North Texas
92,University of Oregon
92,University of South Florida
106,California Institute of Technology
106,Dartmouth College
106,Emory University
106,Florida International University
106,Georgia State University
106,Kansas State University
106,Louisiana State University
106,Michigan Technological University
106,Naval Postgraduate School
106,Temple University
106,Texas Tech University
106,UCCS
106,UNC - Charlotte
106,University of Alabama - Birmingham
106,University of Arkansas
106,University of Cincinnati
106,University of Louisiana - Lafayette
106,University of Nevada Las Vegas
106,University of New Mexico
106,University of South Carolina
106,University of Vermont
106,Virginia Commonwealth University
128,Auburn University
128,Boise State University
128,Brandeis University
128,Brigham Young University
128,Cleveland State University
128,DePaul University
128,Drexel University
128,Florida Atlantic University
128,IUPUI
128,Lehigh University
128,Mississippi State University
128,New Mexico State University
128,Oakland University
128,Ohio University
128,Oklahoma State University
128,Old Dominion University
128,Rensselaer Polytechnic Institute
128,Southern Methodist University
128,The University of Alabama
128,Univ. of Maryland - Baltimore County
128,University of Colorado - Denver
128,University of Hawaii at Manoa
128,University of Kentucky
128,University of Massachusetts Boston
128,University of Nevada
128,University of New Hampshire
128,University of New Orleans
128,Utah State University
128,Western Michigan University
128,Wichita State University
158,Boston College
158,Missouri University of Technology
158,Montana State University
158,Shanghaitech University
158,Tulane University
158,UNC - Greensboro
158,University at Albany - SUNY
158,University of Alabama - Huntsville
158,University of Louisville
158,University of Memphis
158,University of Miami
158,University of Missouri
158,University of Missouri - Kansas City
158,University of Nebraska - Omaha
158,University of Texas - El Paso
158,University of Tulsa
158,University of Wisconsin - Milwaukee
158,West Virginia University
