rank,institution
1,Carnegie Mellon University
2,Massachusetts Institute of Technology
3,University of Texas at Austin
4,Univ. of Illinois at Urbana-Champaign
5,Cornell University
6,Univ. of California - Berkeley
7,Stanford University
8,University of Washington
9,Univ. of California - San Diego
10,Northeastern University
11,Univ. of California - Los Angeles
12,University of Wisconsin - Madison
13,University of Michigan
14,Columbia University
15,New York University
16,Purdue University
17,University of Pennsylvania
18,Yale University
19,Princeton University
20,Georgia Institute of Technology
21,University of Maryland - College Park
22,Univ. of California - Santa Barbara
23,Johns Hopkins University
24,Boston University
25,Stony Brook University
26,University of Chicago
27,University of Southern California
28,Harvard University
29,Brown University
29,Rutgers University
31,Duke University
31,Oregon State University
33,Univ. of California - Davis
33,University of Illinois at Chicago
35,California Institute of Technology
36,Northwestern University
36,Rice University
38,Univ. of California - Santa Cruz
39,Georgetown University
39,Univ. of California - Irvine
41,University of Colorado Boulder
42,TTI Chicago
42,University at Buffalo
44,University of Utah
45,Indiana University
45,Univ. of California - Riverside
47,Florida State University
47,North Carolina State University
47,University of Massachusetts Amherst
50,CUNY
50,George Mason University
52,University of Rochester
52,University of Virginia
54,Dartmouth College
54,University of Connecticut
54,University of Texas at Dallas
57,Boston College
58,Ohio State University
58,Univ. of California - Merced
60,University of Iowa
60,Virginia Tech
62,Augusta University
62,Michigan Technological University
62,Pennsylvania State University
62,Portland State University
62,University of Wisconsin - Milwaukee
67,Texas A&M University
67,University of Florida
67,University of North Carolina
70,Arizona State University
70,Drexel University
70,Florida Atlantic University
70,Virginia Commonwealth University
74,DePaul University
74,Florida International University
74,Stevens Institute of Technology
74,Texas Tech University
74,University of Delaware
74,University of Hawaii at Manoa
74,University of Nebraska
74,University of New Mexico
82,Indiana State University
82,Kansas State University
82,NJIT
82,Rochester Institute of Technology
82,Towson University
82,University of Arkansas
82,University of Houston
82,University of Minnesota
82,University of Missouri
82,University of Pittsburgh
82,Washington University in St. Louis
93,College of William and Mary
93,Tulane University
93,University of Oklahoma
93,Vanderbilt University
97,Colorado School of Mines
97,George Washington University
97,Iowa State University
97,Kent State University
97,Louisiana State University
97,Michigan State University
97,Montana State University
97,Naval Postgraduate School
97,Rensselaer Polytechnic Institute
97,Syracuse University
97,Texas State University
97,Tufts University
97,University of Arizona
97,University of Central Florida
97,University of Cincinnati
97,University of South Carolina
97,University of South Florida
97,University of Texas - El Paso
115,University of Oregon
