rank,institution
1,Carnegie Mellon University
2,Univ. of California - Berkeley
3,Univ. of California - San Diego
4,Stanford University
5,Univ. of Illinois at Urbana-Champaign
6,Massachusetts Institute of Technology
7,Johns Hopkins University
8,Stony Brook University
9,University of Maryland - College Park
10,University of Central Florida
11,Cornell University
12,University of Michigan
13,Univ. of California - Merced
14,Columbia University
15,University of Texas at Austin
16,Boston University
17,Georgia Institute of Technology
18,Michigan State University
19,University of Wisconsin - Madison
20,University of Pennsylvania
21,University of Washington
22,University at Buffalo
23,Rutgers University
24,Princeton University
25,Oregon State University
26,University of Massachusetts Amherst
26,University of Rochester
28,Northeastern University
29,University of Southern California
30,Brown University
31,University of Pittsburgh
32,New York University
32,Pennsylvania State University
34,Arizona State University
35,Univ. of California - Los Angeles
36,Univ. of California - Riverside
37,University of North Carolina
38,Duke University
39,Univ. of California - Irvine
40,California Institute of Technology
41,TTI Chicago
41,Univ. of California - Santa Barbara
43,Rice University
44,West Virginia University
45,Portland State University
46,Univ. of California - Santa Cruz
47,University of Illinois at Chicago
47,University of Minnesota
49,George Mason University
50,Stevens Institute of Technology
51,Rochester Institute of Technology
51,University of Texas at Dallas
51,Washington University in St. Louis
54,Purdue University
55,University of Florida
56,Harvard University
56,Univ. of California - Davis
58,University of Chicago
59,Ohio State University
60,University of South Carolina
61,Wayne State University
62,Illinois Institute of Technology
62,Temple University
64,University of Delaware
65,Binghamton University
65,University of Oregon
65,University of Texas at Arlington
68,Tulane University
69,Indiana University
69,University of Houston
71,UCCS
71,University of Tennessee
73,University of Utah
74,University of Missouri
75,Vanderbilt University
76,Clemson University
76,University of Virginia
78,Colorado State University
78,George Washington University
80,Texas A&M University
81,Northwestern University
82,Brandeis University
83,Boston College
84,Syracuse University
85,University of Arizona
86,Brigham Young University
86,Lehigh University
86,University of Colorado Boulder
89,Colorado School of Mines
89,Drexel University
89,Florida International University
89,University of Notre Dame
93,CUNY
93,Cleveland State University
93,University of South Florida
96,University of Kentucky
96,Washington State University
98,College of William and Mary
99,Virginia Tech
100,Georgia State University
100,Worcester Polytechnic Institute
102,Oklahoma State University
102,UNC - Charlotte
102,University of Cincinnati
102,University of Connecticut
106,NJIT
107,Iowa State University
107,Nova Southeastern University
107,Univ. of Maryland - Baltimore County
107,University of Massachusetts Boston
111,Auburn University
111,Texas State University
111,University of Memphis
111,Yale University
115,University of Georgia
116,Emory University
116,OHSU
116,University of Kansas
116,University of Nevada
120,Dartmouth College
120,Florida State University
120,University of Denver
120,University of Texas - El Paso
124,University of Alabama - Birmingham
124,University of Arkansas
124,University of North Texas
127,IUPUI
127,Old Dominion University
