rank,institution,rank_AI,rank_Systems,rank_Theory,rank_Interdisciplinary_Areas,rank_Computer_Vision,rank_Robotics,rank_Natural_language_processing,rank_Computaional_bio_&_bioinformatics
1,Carnegie Mellon University,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
2,Univ. of Illinois at Urbana-Champaign,2.0,1.0,4.0,10.0,5.0,7.0,11.0,5.0
3,Massachusetts Institute of Technology,8.0,5.0,2.0,5.0,6.0,3.0,19.0,10.0
4,Univ. of California - San Diego,6.0,4.0,9.0,8.0,3.0,9.0,12.0,3.0
5,University of Michigan,5.0,3.0,13.0,12.0,12.0,18.0,8.0,
6,Stanford University,4.0,16.0,7.0,3.0,4.0,8.0,6.0,13.0
6,University of Washington,7.0,10.0,8.0,4.0,21.0,14.0,1.0,23.0
8,Cornell University,3.0,14.0,5.0,7.0,11.0,15.0,3.0,50.0
9,Univ. of California - Berkeley,14.0,6.0,6.0,9.0,2.0,4.0,26.0,14.0
10,Georgia Institute of Technology,16.0,7.0,20.0,6.0,17.0,5.0,20.0,20.0
11,University of Maryland - College Park,11.0,24.0,21.0,2.0,9.0,11.0,7.0,4.0
12,Northeastern University,20.0,15.0,10.0,11.0,28.0,27.0,39.0,16.0
13,Purdue University,26.0,8.0,16.0,16.0,54.0,47.0,48.0,11.0
14,University of Texas at Austin,17.0,13.0,3.0,34.0,15.0,22.0,13.0,
14,University of Wisconsin - Madison,29.0,9.0,12.0,21.0,19.0,45.0,54.0,34.0
16,Columbia University,13.0,19.0,14.0,14.0,14.0,33.0,15.0,22.0
17,University of Pennsylvania,15.0,18.0,17.0,14.0,20.0,1.0,5.0,42.0
18,Princeton University,30.0,21.0,19.0,17.0,24.0,48.0,35.0,9.0
19,New York University,18.0,32.0,15.0,18.0,32.0,38.0,10.0,
20,Univ. of California - Los Angeles,10.0,24.0,11.0,56.0,35.0,106.0,14.0,2.0
20,University of Massachusetts Amherst,9.0,26.0,47.0,25.0,26.0,20.0,17.0,58.0
22,Stony Brook University,28.0,29.0,25.0,19.0,8.0,30.0,30.0,32.0
23,Univ. of California - Santa Barbara,23.0,21.0,22.0,42.0,41.0,90.0,15.0,50.0
24,Rutgers University,12.0,36.0,29.0,21.0,23.0,12.0,34.0,
24,University of Chicago,49.0,12.0,26.0,42.0,58.0,103.0,59.0,
26,Univ. of California - Irvine,37.0,19.0,39.0,30.0,39.0,90.0,42.0,25.0
27,University of Southern California,19.0,31.0,27.0,34.0,29.0,13.0,23.0,
28,Duke University,26.0,26.0,31.0,40.0,38.0,39.0,37.0,6.0
29,Pennsylvania State University,24.0,17.0,62.0,56.0,32.0,94.0,28.0,7.0
30,Northwestern University,50.0,30.0,36.0,27.0,81.0,37.0,60.0,
30,Univ. of California - Riverside,53.0,11.0,45.0,56.0,36.0,55.0,70.0,15.0
32,Ohio State University,44.0,26.0,58.0,37.0,59.0,101.0,38.0,42.0
33,Harvard University,39.0,44.0,28.0,25.0,56.0,101.0,67.0,
33,University of Utah,55.0,34.0,44.0,12.0,73.0,28.0,27.0,38.0
33,Yale University,57.0,36.0,18.0,32.0,111.0,16.0,36.0,
36,Brown University,35.0,52.0,29.0,20.0,30.0,19.0,33.0,19.0
36,George Mason University,48.0,41.0,50.0,24.0,49.0,26.0,46.0,42.0
36,Texas A&M University,46.0,38.0,67.0,21.0,80.0,10.0,45.0,58.0
39,Univ. of California - Santa Cruz,38.0,41.0,38.0,37.0,46.0,65.0,44.0,67.0
40,Boston University,33.0,41.0,24.0,66.0,16.0,79.0,64.0,
40,University at Buffalo,35.0,33.0,42.0,66.0,22.0,36.0,63.0,
40,University of Illinois at Chicago,21.0,50.0,33.0,49.0,47.0,81.0,21.0,67.0
43,Arizona State University,34.0,44.0,70.0,45.0,34.0,21.0,46.0,
43,Rice University,40.0,44.0,36.0,54.0,43.0,25.0,71.0,34.0
43,University of Colorado Boulder,52.0,48.0,41.0,29.0,86.0,17.0,29.0,
43,University of Minnesota,53.0,40.0,82.0,28.0,47.0,6.0,61.0,
47,North Carolina State University,74.0,21.0,47.0,56.0,,92.0,73.0,58.0
47,University of North Carolina,32.0,52.0,67.0,32.0,37.0,29.0,9.0,40.0
47,University of Virginia,42.0,38.0,52.0,62.0,76.0,46.0,52.0,58.0
50,Univ. of California - Davis,61.0,44.0,33.0,44.0,56.0,,74.0,58.0
51,Johns Hopkins University,22.0,78.0,23.0,53.0,7.0,23.0,4.0,47.0
51,Oregon State University,40.0,57.0,31.0,49.0,25.0,51.0,24.0,47.0
51,Virginia Tech,64.0,34.0,60.0,49.0,99.0,121.0,55.0,33.0
54,Indiana University,68.0,49.0,45.0,40.0,69.0,40.0,88.0,12.0
54,University of Pittsburgh,25.0,52.0,82.0,62.0,31.0,115.0,31.0,17.0
56,University of Central Florida,46.0,57.0,97.0,37.0,10.0,56.0,57.0,17.0
57,University of Texas at Dallas,31.0,66.0,54.0,85.0,51.0,62.0,18.0,
58,Michigan State University,43.0,73.0,97.0,54.0,18.0,81.0,66.0,34.0
58,University of Rochester,44.0,73.0,52.0,85.0,26.0,58.0,43.0,
58,Washington University in St. Louis,55.0,66.0,82.0,47.0,51.0,75.0,93.0,
